Search Results

Searching for first_cat sources within 30.0000 arcsec of 309 input positions

21 sources found

                                                                                    FIRST Catalog Database (2014dec17)                                                                                    
-------------+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Do  Get Get  | Search     RA (2000)   Dec (2000)   Side   Peak     Int.     RMS   Deconv.  Deconv.  Deconv  Meas.     Meas.      Meas.    Field Name   SDSS Closest SDSS  SD 2MAS Closest 2MASS  Mean      Mean      RMS    
NED OPT FIMG |          13 08 03.880 +50 52 26.70                          0.136 
NED OPT FIMG |          13 10 09.440 +02 33 43.70                          0.150 
NED OPT FIMG |          13 13 03.470 +63 32 35.20                          0.141 
NED OPT FIMG |          13 13 05.810 +01 27 55.90                          0.137 
NED OPT FIMG |          13 13 10.130 +05 19 42.20                          0.142 
NED OPT FIMG |          13 15 33.290 +12 22 00.50                          0.148 
NED OPT FIMG |          13 15 58.140 +13 54 14.60                          0.147 
NED OPT FIMG |          13 16 18.850 +02 14 07.50                          0.144 
NED OPT FIMG |          13 17 15.120 +48 46 30.30                          0.137 
NED OPT FIMG |          13 18 04.320 +41 17 34.60                          0.224 
NED OPT FIMG |          13 19 26.530 +10 56 11.00                          0.151 
NED OPT FIMG |          13 22 24.410 +42 26 43.40                          0.191 
NED OPT FIMG |          13 27 11.090 +65 36 18.10                         -1.000*
NED OPT FIMG |          13 29 53.440 -02 55 23.40                          0.146 
NED OPT FIMG |          13 37 04.910 +02 20 50.20                          0.141 
NED OPT FIMG |          13 39 21.950 +54 45 27.70                          0.148 
NED OPT FIMG |          13 39 28.500 +40 32 29.90                          0.140 
NED OPT FIMG |          13 41 44.520 -00 58 32.80                          0.145 
NED OPT FIMG |          13 42 49.270 +48 27 23.70                          0.140 
NED OPT FIMG |          13 45 16.780 -01 10 54.80                          0.168 
NED OPT FIMG |          13 46 32.140 +64 23 25.10                         -1.000*
NED OPT FIMG |          13 47 38.240 +47 43 01.90                          0.136 
NED OPT FIMG |          13 48 14.890 +02 13 16.30                          0.139 
NED OPT FIMG |          13 51 59.160 +02 50 34.00                          0.144 
NED OPT FIMG |          13 57 24.000 +65 41 16.60                         -1.000*
NED OPT FIMG |          13 57 24.510 +65 25 05.90                         -1.000*
NED OPT FIMG |          14 06 30.100 -00 19 39.60                          0.149 
NED OPT FIMG |          14 07 02.440 +13 55 37.70                          0.149 
NED OPT FIMG |          14 12 34.670 -00 35 00.10                          0.155 
NED OPT FIMG |          14 13 25.860 +43 41 01.30                          0.129 
NED OPT FIMG |          14 14 35.580 +00 33 12.60                          0.147 
NED OPT FIMG |          14 15 15.400 +04 36 16.00                          0.149 
NED OPT FIMG |          14 18 49.660 +46 49 43.40                          0.142 
NED OPT FIMG |          14 21 19.130 +63 13 00.20                          0.137 
NED OPT FIMG |          14 21 45.610 +62 17 13.80                          0.141 
NED OPT FIMG |          14 24 49.480 +01 23 53.60                          0.152 
NED OPT FIMG |          14 25 43.210 +34 49 52.90                          0.138 
NED OPT FIMG |          14 27 32.210 +34 30 39.10                          0.142 
NED OPT FIMG |          14 30 10.840 +57 22 02.10                          0.136 
NED OPT FIMG |          14 30 47.530 +56 57 29.10                          0.145 
NED OPT FIMG |          14 31 14.310 +45 27 05.90                          0.138 
NED OPT FIMG |          14 33 10.550 +52 58 30.50                          0.132 
NED OPT FIMG |          14 34 50.630 +03 38 42.60                          0.165 
NED OPT FIMG |          14 34 51.390 -02 24 39.80                          0.140 
NED OPT FIMG |          14 35 44.500 +57 24 27.90                          0.135 
NED OPT FIMG |          14 35 52.310 +34 13 45.50                          0.134 
NED OPT FIMG |          14 37 10.110 -01 40 54.50                          0.151 
NED OPT FIMG |          14 37 13.550 +54 58 18.70                          0.149 
NED OPT FIMG |          14 40 52.610 -02 35 06.30                          0.153 
NED OPT FIMG |          14 41 08.700 +35 19 58.80                          0.138 
NED OPT FIMG |          14 42 49.720 +61 11 37.80                          0.143 
NED OPT FIMG |          14 47 05.470 +00 36 53.20                          0.158 
NED OPT FIMG |          14 48 55.610 +57 10 39.00                          0.139 
NED OPT FIMG |          14 57 51.910 +00 00 11.50                          0.153 
NED OPT FIMG |          15 02 24.730 +45 23 53.90                          0.144 
NED OPT FIMG |          15 06 48.860 +34 13 06.80                          0.143 
